Artist,Title,Mix,BPM,Label,Year
"Adrian Marcel ft. K Camp & Problem","2AM",Clean - Remix,102,L7/Universal Republic,2014
"Adrian Marcel ft. Wale","2AM",DJ Ambidekstres Remix - Clean,102,L7/Universal Republic,2014
"Akon","Clap Again",Radio Edit,100,,2008
"Akon","Keep U Much Longer",Radio Edit,120,,2008
"Akon","Right Now (na Na Na)",,138,,
"Akon","Takin'it Off",Radio Edit,130,,2008
"Alabina","Baila Maria",Remix,105,,2003
"Aaliyah","We Need A Resolution",,74,Blackground Records,2001
"A.CHAL ft. 2 Chainz & Nicky Jam","Love N Hennessy",Explicit - Remix,70,Explicit - Remix,2018
"Adrian Marcel","2AM", Quick Edit,102,L7/Universal Republic,2014
"Adrian Marcel","2AM",,102,L7/Universal Republic,2014
"Adrian Marcel","Take Your Time",,82,L7/Republic,2015
"Adrian Marcel ft. Sage The Gemini & Problem","2AM",Remix - Clean,102,L7/Universal Republic,2014
"After 7","Damn Thing Called Love",Extended,65,,2008
"Akon","Could Be You The Resaon",Radio Edit,120,,2008
"Akon","Love You No More",,91,,2013
"Akon","Sorry Blame It On Me",Radio Edit,88,,2009
"Akon","Until U Come Back",Radio Edit,74,,2008
"Alessia Cara","Here",,61,Def Jam,2015
"Alessia Cara","Here",,61,Def Jam,2015
"Algebra Blessett","Nobody But You",,89,eOne,2014
"Alicia Keys","Fallin",,64,,2004
"Alicia Keys","In Common",,120,RCA,2016
"Alicia Keys ft. Kendrick Lamar","It's On Again",,110,RCA,2014
"Amerie","That's What Tou Are (remix)",,91,Columbia Records,2008
"Amil Feat. Beyonce of Destiny's Child","I Got That",,103,Columbia Records,2000
"Anderson .Paak ft. Smokey Robinson","Make it Better",,89,,2019
"Anderson .Paak ft. Smokey Robinson","Make it Better",DJ Slique Intro Edit,89,DJ Slique Intro Edit,2019
"Anderson .Paak ft. T.I.","Come Down",Promo Only Intro Edit,98,Steel Wool/OBE/EMPIRE,2016
"Anderson .Paak ft. T.I.","Come Down",Clean Edit,98,Steel Wool/OBE/EMPIRE,2016
"Angelica Vila","More In The Morning",Clean Edit,91,Clean Edit,2019
"Angelica Vila","More In The Morning",PO Intro Edit,91,PO Intro Edit,2019
"Alessia Cara","Scars To Your Beautiful",,98,Def Jam,2016
"Alicia Keys","Brand New Me",Instrumental,73,RCA,2013
"Alicia Keys","If I Ain't Got You",,120,,2004
"Alicia Keys","In Common", Quick Edit,120,RCA,2016
"Amerie","Touch",Remix (feat. T.i.),115,,2005
"Amy Winehouse","I'm Know I'm No Good",,103,Back To Black,
"Anderson .Paak ft. Smokey Robinson","Make it Better",DJ Slique Quick Edit,89,DJ Slique Quick Edit,2019
"Anderson .Paak ft. T.I.","Come Down",Promo Only Clean Edit,98,Steel Wool/OBE/EMPIRE,2016
"Anderson .Paak ft. T.I.","Come Down",Clean Edit - Remix,98,Steel Wool/OBE/EMPIRE,2016
"Anderson .Paak ft. T.I.","Come Down",Promo Only Quick Edit,98,Steel Wool/OBE/EMPIRE,2016
"Angelica Vila","More In The Morning",PO Quick Edit,91,PO Quick Edit,2019
"Anthony Hamilton","Woo",Instrumental,97,RCA,2011
"Anthony Lewis","Baewatch",A Cappella,99,The Chemists/Global,2015
"Anthony Lewis","Baewatch",,99,The Chemists/Global,2015
"Anthony Lewis ft. Billy Bang","Candy Rain",A Cappella,95,The Chemists,2014
"Anthony Lewis ft. T.I.","It's Not My Fault", Quick Edit,91,The Chemists/Global,2015
"Anthony Lewis ft. T.I.","It's Not My Fault",Explicit,91,The Chemists/Global,2015
"Anthony Lewis ft. T.I.","It's Not My Fault",A Cappella - Explicit,91,The Chemists/Global,2015
"Aretha Franklin","Get It Right",,122,,
"Aretha Franklin","Who's Zoomin Who",,109,,
"Ari Lennox ft. J. Cole","Shea Butter Baby",Clean Edit,78,Clean Edit,2019
"Ashanti","Happy",Remix,96,Murder Inc,2002
"Ashanti ft. French Montana","Early In The Morning",Clean,125,Written/eOne,2014
"Ashanti ft. Rick Ross","I Got This",,72,Written/eOne,2014
"Ashanti ft. Ty Dolla $ign","Say Less",Clean Edit,100,Clean Edit,2018
"Anthony Lewis","Baewatch", Quick Edit,99,The Chemists/Global,2015
"Anthony Lewis ft. Billy Bang","Candy Rain",Instrumental,95,The Chemists,2014
"Anthony Lewis ft. Billy Bang","Candy Rain", Quick Edit,95,The Chemists,2014
"Anthony Lewis ft. T.I.","It's Not My Fault",Clean,91,The Chemists/Global,2015
"Anthony Lewis ft. T.I.","It's Not My Fault",Instrumental,91,The Chemists/Global,2015
"Aretha Franklin","R-E-S-P-E-C-T",,115,,
"Ari Lennox ft. Cozz","Backseat",,70,Dreamville/Interscope,2017
"Ari Lennox ft. J. Cole","Shea Butter Baby",Explicit,78,Explicit,2019
"Ashanti Feat. Paul & Method","Still On It",,91,,
"Ashanti ft. Rick Ross","I Got It",Explicit,72,Written/eOne,2014
"Ashanti ft. Ty Dolla $ign","Say Less",PO Quick Edit,100,PO Quick Edit,2018
"Ashanti ft. Ty Dolla $ign","Say Less",PO Intro Edit,100,PO Intro Edit,2018
"Ashlee Chane'l","Hush", Quick Edit,57,Liquid Fire Empire,2015
"ATL","Calling All Girls",Radio Edit,95,Bad Boy,2004
"August Alsina","Don't Matter",,64,Def Jam,2017
"August Alsina","No Love",Clean,65,Def Jam,2014
"August Alsina ft. Nicki Minaj","No Love",Clean - Remix,65,Def Jam,2014
"August Alsina ft. Nicki Minaj","No Love",Explicit,65,Def Jam,2014
"Avant","Read Your Mind",Original,74,,2003
"Avery Wilson ft. Migos","Change My Mind",Instrumental,105,Bet I Penned It/RCA,2015
"AZ Feat. SWV","Hey Az",,94,Noo Trybe/virgin Records,1997
"AZ Yet Feat. Peter Cetera","Hard To Say I’m Sorry",,64,Laface/arista Records,1997
"B5","Shining Star",,108,Walt Disney Records,2006
"Baby Bash Ft Akon","Im Back",,100,,
"Babyface","Exceptional",,96,Def Jam,2016
"Ashlee Chane'l","Hush",,57,Liquid Fire Empire,2015
"August Alsina","Don't Matter",Quick Edit,64,Def Jam,2017
"August Alsina","Don't Matter",Intro Edit,64,Def Jam,2017
"August Alsina","Song Cry", Clean Edit,72,Def Jam,2016
"August Alsina ft. Nicki Minaj","No Love",Remix,65,Def Jam,2014
"Avery Wilson","If I Have To",,85,Bet I Penned It/RCA,2015
"Avery Wilson ft. Migos","Change My Mind",Explicit,105,Bet I Penned It/RCA,2015
"AZ Yet","Last Night",,82,Laface/arista Records,1996
"B2K","Badaboom",,96,,
"Baby Bash","Suga Suga",Original,82,,2004
"Baby Boy","Donde Estas",,94,Vene,2008
"Bando Jonez","Sex You", Quick Edit,65,Epic,2014
"Bando Jonez","Sex You",Instrumental,65,Epic,2014
"Bando Jonez","Sex You",A Cappella,65,Epic,2014
"Bando Jonez ft. Saint LaRon & Polow Da Don","Wet",Clean Edit,72,Clean Edit,2019
"Barachi","Priceless",,85,,2019
"Barachi","Tell Me",,64,,2018
"Barry White","Can't Get Enough Of Your Love.babe",,111,,
"Barry White","Never,never Gonna Give You Up",,85,,
"Beverley Knight","Flavour Of The Old School",Full Mix,97,Apr,1995
"Beyonce","11-Jul",,68,Columbia,2015
"Beyonce","BIGGER",,86,,2019
"Beyonce","Hold Up",Clean,84,Columbia,2016
"Beyonce","Love On Top",,94,Columbia,2011
"Beyonce","Ring Off",,98,Columbia,2014
"Bando Jonez","Sex You", Quick Edit,65,Epic,2014
"Bando Jonez ft. Saint LaRon & Polow Da Don","Wet",Explicit,72,Explicit,2019
"Barachi","Priceless",PO Intro Edit,85,PO Intro Edit,2019
"Barachi","Priceless",PO Quick Edit,85,PO Quick Edit,2019
"Barry White","I've Got So Much To Give",,66,,
"Barry White","Oh What A Night For Dancing",,77,,
"Beyonce","11-Jul",Explicit,68,Columbia,2015
"Beyonce","Before I Let Go",Homecoming Live,103,Homecoming Live,2019
"Beyonce","Dance For You",R/b,100,,2012
"Beyonce","Love Drought",,80,Parkwood/Columbia,2016
"Beyonce","Naughty Girl",Original,102,Sony,2003
"Beyonce","Ring Off", Quick Edit,98,Columbia,2014
"Beyonce","Sorry", Quick Edit,65,Columbia,2016
"Beyonce","Work It Out",,87,Columbia Records,2002
"Beyonce","Work It Out",Maurice's Nu Soul Mix,126,Columbia Records,2002
"Beyonce ft. Jay-Z","Drunk In Love",Radio Edit,70,Columbia,2014
"Beyonce ft. Jay-Z & Childish Gambino","Mood 4 Eva",PO Quick Edit,107,PO Quick Edit,2019
"Beyonce ft. Jay-Z & Childish Gambino","Mood 4 Eva",PO Intro Edit,107,PO Intro Edit,2019
"Beyonce ft. J. Cole","Party",Remix,80,Columbia,2011
"Beyonce ft. Shatta Wale & Major Lazer","Already",PO Intro Edit,101,PO Intro Edit,2019
"Beyonce ft. Shatta Wale & Major Lazer","ALREADY",,101,,2019
"Beyonce ft. Wizkid, SAINt JHN & Blue Ivy Carter","BROWN SKIN GIRL",,92,,2019
"Beyonce Knowles","If I Were Boy",,43,,2008
"Big Lou Y Miguelo ft. Magnate Y Valentino","Puro Y Real",,57,Unsigned,2010
"BJ The Chicago Kid","Time Today",Clean,46,Clean,2019
"Beyonce","Sorry",Clean,65,Columbia,2016
"Beyonce","Work It Out",New Radio Edit,87,Columbia Records,2002
"Beyonce ft. Jay-Z","Drunk In Love",DJ Scooter Remix,70,Columbia,2014
"Beyonce ft. Jay-Z","Drunk In Love",DJ Scooter Remix - Explicit,70,Columbia,2014
"Beyonce ft. Jay-Z & Childish Gambino","MOOD 4 EVA",,107,,2019
"Beyonce ft. Kanye West & Andre 3000","Party", Clean Edit,81,Columbia,2011
"Beyonce ft. Shatta Wale & Major Lazer","Already",PO Quick Edit,101,PO Quick Edit,2019
"Beyonce ft. The Weeknd","6 Inch", Verified Intro Edit,69,Columbia,2016
"Beyonce & Kendrick Lamar","NILE",,74,,2019
"Beyonce Knowles","Ring The Alarm",,85,Columbia Records,2006
"Billy Ocean","Are You Ready",,117,,
"BJ The Chicago Kid ft. Offset","Worryin' Bout Me",Clean Edit,63,Clean Edit,2019
"Black Eyed Peas","I Gotta Feeling",,200,,
"Black Mattic","Let Me Go",,100,Official Hitz Entertainment,2010
"Boot Camp Click With Aaliyah","Night Riders",,87,Duck Down/priority Records,1997
"Brandy","Almost Doesn't Count",,71,Atlantic Records,1999
"Brandy","Best Friend",,90,Atlantic Records,1995
"Brandy","Full Moon",Full Intention Club Mix,125,Atlantic Records,2002
"Brandy","He Is",Rizzo Global Club Mix,132,Atlantic Records,2002
"Brandy","He Is",Radio Remix,68,Atlantic Records,2002
"Brandy","He Is",Mike Rizzo Radio Edit,132,Atlantic Records,2002
"Brandy","Sittin' Up In My Room",,93,Arista Records,1996
"Brandy","What About Us?",95 North Remix,128,Atlantic Records,2002
"Brandy","What About Us?",Lenny Bertaldo Club Mix,120,Atlantic Records,2002
"Brandy Feat. Ma$e","Top Of The World",,98,Atlantic Records,1998
"Black Mattic","Feel Good",,115,Official Hitz Entertainment,2010
"Black Mattic","Stand By Me",,90,Official Hitz Entertainment,2011
"Bow Wow","We In Da Club",,100,Cash Money/Universal Republic,2012
"Brandy","Best Friend",Remix,90,Atlantic Records,1995
"Brandy","Full Moon",Filur Vs. C&j Mix,125,Atlantic Records,2002
"Brandy","He Is",Kluster's Pop Art Mix,122,Atlantic Records,2002
"Brandy","He Is",Maurice's Nu Soul Mix,122,Atlantic Records,2002
"Brandy","He Is",,68,Atlantic Records,2002
"Brandy","U Don't Know Me (like U Used To)",,95,Atlantic Records,1999
"Brandy","What About Us?",Felix Da Housecat's Glitz Mix,134,Atlantic Records,2002
"Brandy & Daniel Caesar","Love Again",,78,,2019
"Brandy Featuring Kanye West","Talk About Our Love",,100,,
"Brandy Feat. Usher","Who Is She 2 U",,91,Atlantic,2004
"Brandy & Monica","The Boy Is Mine",,93,Atlantic Records,1998
"Brandy, Tamia, Knight, G. & ...","Missing You",,68,,1996
"Brent Faiyaz","Gang Over Luv",Explicit,82,Explicit,2018
"Brent Faiyaz","Gang Over Luv",Clean Edit,82,Clean Edit,2018
"Brooke Valentine Feat Pimp C","Dope Girl",Re-edits Volume 39,90,,
"Bruno Mars ft. Gucci Mane","That's What I Like",Remix - Explicit,67,Atlantic,2017
"Bruno Mars ft. Gucci Mane","That's What I Like",Quick Edit - Remix,67,Atlantic,2017
"Bruno Mars ft. PARTYNEXTDOOR","That's What I Like",Quick Edit,68,Atlantic,2017
"Bruno Mars ft. PARTYNEXTDOOR","That's What I Like",,68,Atlantic,2017
"Bruno Mars ft. PARTYNEXTDOOR","That's What I Like",Remix,68,Atlantic,2017
"Bryce Vine ft. Wale","Drew Barrymore",Clean Edit - Remix,76,Clean Edit - Remix,2018
"Bryson Tiller","Don't", Clean Edit,97,RCA,2015
"Brandy Feat. Wanya Morris","Brokenhearted",,75,Atlantic Records,1995
"Brandy Moss-Scott","Girlfriend",Batts Black & Blue Dub,125,Mecca Records,2000
"Brent Faiyaz","Gang Over Luv",PO Quick Edit,82,PO Quick Edit,2018
"Brent Faiyaz","Gang Over Luv",PO Intro Edit,82,PO Intro Edit,2018
"Bruno Mars & Cardi B","Finesse",Explicit - Remix,105,Explicit - Remix,2018
"Bruno Mars ft. Gucci Mane","That's What I Like",Clean Edit - Remix,67,Atlantic,2017
"Bruno Mars ft. Gucci Mane","That's What I Like",Intro Edit - Remix,67,Atlantic,2017
"Bruno Mars ft. PARTYNEXTDOOR","That's What I Like",Remix - Clean,68,Atlantic,2017
"Bruno Mars ft. PARTYNEXTDOOR","That's What I Like",Intro Edit,68,Atlantic,2017
"Bryce Vine ft. Wale","Drew Barrymore",PopRoXxX Intro Edit - Remix,78,PopRoXxX Intro Edit - Remix,2018
"Bryce Vine ft. Wale","Drew Barrymore",PopRoXxX Quick Edit - Remix,78,PopRoXxX Quick Edit - Remix,2018
"Bryson Tiller","Exchange",Explicit,80,RCA,2016
"Bryson Tiller","Exchange",Clean,80,RCA,2016
"Bryson Tiller","Run Me Dry",Intro Edit,97,RCA,2017
"Bryson Tiller","Something Tells Me",Explicit,90,RCA,2017
"B Smyth","Too Many Reasons",PO Clean Edit,65,PO Clean Edit,2019
"B Smyth ft. Young Thug","Creep",Clean,66,RCA,2016
"Bugs Bunny","Buggin'",,92,Warner Sunset/Atlantic,1996
"Cassie","Me And You",Provided By Dj X Cell,100,,2006
"Cassie ft. Young Jeezy","Balcony",Instrumental,71,Bad Boy/Interscope,2012
"Cee Lo Green","Robin Williams", Quick Edit,100,Atlantic,2015
"CeeLo Green","Fuck You",,128,,
"Chantay Savage","I Will Survive",Silk's Old School Extented Remix,92,Rca,1996
"Cherish","Do It To It",,74,,2006
"Childish Gambino","Redbone",Quick Edit,80,Glassnote,2016
"Bryson Tiller","Run Me Dry",Explicit,97,RCA,2017
"Bryson Tiller","Run Me Dry",Quick Edit,97,RCA,2017
"Bryson Tiller","Something Tells Me",Clean Edit,90,RCA,2017
"B Smyth","Too Many Reasons",Explicit,65,Explicit,2019
"Candice Boyd","Make Me Over",,60,Epic,2017
"Cassie ft. Young Jeezy","Balcony",A Cappella,71,Bad Boy/Interscope,2012
"Caye ft. Wiz Khalifa","Easy",PO Clean Edit,89,PO Clean Edit,2018
"Cee Lo Green","Robin Williams",,100,Atlantic,2015
"Chaka Khan","Eye To Eye",,110,,1984
"Charlene Smith","Feel The Goodtimes",New School Mix,95,China,1995
"Chico Debarge","Vigin",,67,,1997
"Childish Gambino","Redbone",Intro Edit,80,Glassnote,2016
"Childish Gambino","Summertime Magic",,100,,2018
"Chris Brown","Back To Love",PO Clean Edit,123,PO Clean Edit,2019
"Chris Brown","Back To Sleep", Quick Edit,93,RCA,2015
"Chris Brown","Back To Sleep",Clean,93,RCA,2015
"Chris Brown","Grass Ain't Greener",Clean,67,RCA,2016
"Chris Brown","Liquor",Clean,105,RCA,2015
"Chris Brown","Undecided",PopRoXxX Quick Edit,96,PopRoXxX Quick Edit,2019
"Chris Brown","Undecided",PopRoXxX Intro Edit,96,PopRoXxX Intro Edit,2019
"Chris Brown","Yo (excuse Me Miss)",,88,,
"Chris Brown Ft. T-Pain","Kiss Kiss",,70,Jive,2007
"Chris Brown ft. Usher & Gucci Mane","Party",Clean,71,RCA,2017
"Chris Brown ft. Usher & Rick Ross","New Flame",Explicit,71,RCA,2014
"Chris Brown ft. Usher & Zayn","Back To Sleep", Quick Edit - Remix,93,RCA,2016
"Chris Brown","Back To Love",PO Quick Edit,123,PO Quick Edit,2019
"Chris Brown","Back To Love",PO Intro Edit,123,PO Intro Edit,2019
"Chris Brown","Back To Sleep",Explicit,93,RCA,2016
"Chris Brown","Forever",Original,120,,2008
"Chris Brown","Liquor",Explicit,105,RCA,2015
"Chris Brown","Undecided",,96,,2019
"Chris Brown","What Would You Do?",,118,RCA,2016
"Chris Brown Feat. Will.I.Am","Picture Perfect",Album Version,118,,2007
"Chris Brown ft.  Usher & Gucci Mane","Party",Clean,71,RCA,2017
"Chris Brown ft. Usher & Rick Ross","New Flame",Clean,71,RCA,2014
"Chris Brown ft. Usher & Rick Ross","New Flame", Quick Edit,71,RCA,2014
"Chris Brown ft. Usher & Zayn","Back To Sleep",Remix - Explicit,93,RCA,2016
"Chris Brown ft. Usher & Zayn","Back To Sleep", - Remix,93,RCA,2016
"Christina Milian Feat. Young Jeezy","Say I",,100,,2006
"Ciara","Dance Like We're Making Love",,96,Epic,2015
"Ciara","Give Me Love",,120,Epic,2015
"Ciara","Got Me Good",Instrumental,133,Epic,2012
"Ciara","Got Me Good",A Cappella,133,Epic,2012
"Ciara","I Bet",,65,Epic,2015
"Ciara","I Bet", Quick Edit,65,Epic,2015
"Ciara Ft. Chamillionaire","Get Up",,129,,2006
"Ciara Ft. Petey Pablo","Goodies",,102,,2004
"City Girls","I'll Take Your Man",PopRoXxX Intro Edit,98,PopRoXxX Intro Edit,2018
"Clyde Carson ft. Gucci Mane, E-40, Game & Dom Kennedy","Slow Down",Instrumental,101,Moe Doe/Universal Republic,2012
"Coko","Sunshine",,95,Rca,1999
"Chris Brown ft. Usher & Zayn","Back To Sleep",Remix - Explicit,93,RCA,2016
"Ciara","1,2 Step",Main,113,Jive,2005
"Ciara","Dance Like We're Making Love", Quick Edit,96,Epic,2015
"Ciara","Give Me Love", Quick Edit,120,Epic,2015
"Ciara","I Bet",Explicit,65,Epic,2015
"Ciara","I Bet", Clean Edit,65,Epic,2015
"Ciara","I Bet",Instrumental,65,Epic,2015
"Ciara Ft. Ludacris","Oh",Album,127,,2004
"City Girls","I'll Take Your Man",PopRoXxX Quick Edit,98,PopRoXxX Quick Edit,2018
"Clyde Carson ft. Gucci Mane, E-40, Game & Dom Kennedy","Slow Down",Explicit - Remix,101,Moe Doe/Universal Republic,2012
"Coi Leray","Huddy",Clean Edit,95,Clean Edit,2019
"Common & John Legend","Glory",Clean,83,Def Jam/Columbia,2015
"Cream","Crossroads",,133,,
"D'Angelo & The Vanguard","Really Love",,78,RCA,2015
"Daniel Caesar ft. Kali Uchis","Get You",Clean,94,Clean,2018
"Day26","Made Love Lately",Instrumental,76,Atlantic,2012
"Deep Cotton ft. Jidenna","Let's Get Caught",Clean,111,Epic,2015
"Deep Cotton ft. Jidenna","Let's Get Caught", Quick Edit,111,Epic,2015
"Destiny's Child","8 Days Of Christmas",,100,Music World Music/columbia Records,2001
"Destiny's Child","Bootylicious",Big Boyz Remix,104,Columbia Records,2001
"Destiny's Child","Bootylicious",Case Remix,136,Columbia Records,2001
"Destiny's Child","Bug A Boo",Album Version,104,Columbia Records,1999
"Destiny's Child","Independent Woman Part 1",Victor Calderone Club Mix,125,Columbia Records,2000
"Destiny's Child","Jumpin' Jumpin'",Maurice's Jumpin' Retro Mix,130,Columbia Records,2000
"Destiny's Child","Say My Name",Digital Black & Groove Club Mix,127,Columbia Records,2000
"Crooked Nigga Too","2pac Feat. Raphael Saadiq",Raphael Saadiq Remix,100,Shady,2004
"Daniel Caesar ft. Kali Uchis","Get You",,94,,2018
"DaniLeigh ft. Chris Brown","Easy",Clean Remix,50,Clean Remix,2019
"DDG ft. Queen Naija","Hold Up",PO Clean Edit,86,PO Clean Edit,2019
"Deep Cotton ft. Jidenna","Let's Get Caught",Explicit,111,Epic,2015
"Destiny's Child","Bills, Bills, Bills",Digital Black-n-groove Club Mix,128,Columbia Records,1999
"Destiny's Child","Bootylicious",Richard Vission's V-quest,128,Columbia Records,2001
"Destiny's Child","Bug A Boo",,104,Columbia Records,1999
"Destiny's Child","Emotion",,87,Columbia Records,2001
"Destiny's Child","Independent Woman Part 1",,96,Columbia Records,2000
"Destiny's Child","Jumpin' Jumpin'",Lp Edit,89,Columbia Records,2000
"Destiny's Child","Say My Name",Maurice's Last Days Of Disco Millenium Mix,127,Columbia Records,2000
"Destiny's Child","Say My Name",Maurice's Bass 2000 Mix,138,Columbia Records,2000
"Destiny's Child Feat. JD","With Me (part 1)",,91,Columbia Records,1998
"Destiny's Child Feat. Wyclef Jean","No, No, No (part Ii)",,91,Columbia Records,1997
"Devvon Terrell","Temperature",PO Clean Edit,105,PO Clean Edit,2018
"Dinah Jane","Heard It All Before",PO Clean Edit,97,PO Clean Edit,2019
"Dinah Jane","Heard It All Before",Explicit,60,Explicit,2019
"DJ Aktive ft. Marsha Ambrosius","90's Love",,90,,2018
"DJ Cassidy ft. Chromeo","Future Is Mine",Instrumental,115,Atlantic,2015
"DJ Cassidy ft. Chromeo","Future Is Mine", Quick Edit,115,Atlantic,2015
"DJ Khaled ft. Trey Songz, Jeremih & Future","You Mine",Clean,68,We The Best/RED/Sony,2015
"DJ Mustard ft. Fabolous & Eric Bellinger","4 Digits", Clean Edit,96,Roc Nation/Republic,2014
"DJ Premier x Miguel","2 LOVIN U",Quick Edit - Explicit,108,TTT/Ingrooves,2017
"DJ Premier x Miguel","2 LOVIN U",Explicit,108,TTT/Ingrooves,2017
"Destiny's Child","Survivor",Victor Calderone Club Mix,134,Columbia Records,2001
"Destiny's Child Feat. Wyclef Jean","Bug A Boo",Refugee Camp Remix,94,Columbia Records,1999
"Destiny's Child F. Lil' Wayne","Soldier",,79,Destiny Fulfilled,2004
"Diamonique Jackson","Toast Up",,88,,2019
"Dizzee Rascal, Calvin Harris, Chrome","Dance Wiv Me",Radio,112,,2008
"DJ Cassidy ft. Chromeo","Future Is Mine",Extended,115,Atlantic,2015
"DJ Cassidy ft. Chromeo","Future Is Mine",,115,Atlantic,2015
"DJ Khaled ft. Chris Brown, August Alsina, Future & Jeremih","Hold You Down",Clean,76,We The Best/Young Money/Cash Money/Republic,2014
"DJ Khaled ft. Trey Songz, Jeremih & Future","You Mine",Explicit,68,We The Best/RED/Sony,2015
"DJ Mustard ft. Fabolous & Eric Bellinger","4 Digits",Explicit,96,Roc Nation/Republic,2015
"DJ Premier x Miguel","2 LOVIN U",Clean,108,TTT/Ingrooves,2017
"DJ Premier x Miguel","2 LOVIN U",Intro Edit - Explicit,108,TTT/Ingrooves,2017
"DJ Trauma ft. Oli","Extra Attention",Clean,115,Clean,2018
"DJ Trauma ft. Oli","Extra Attention",PO Intro Edit,115,PO Intro Edit,2018
"Dreezy ft. T-Pain","Close To You",Clean,71,Interscope,2016
"dvsn","Miss Me?",PO Quick Edit,76,PO Quick Edit,2019
"dvsn","Miss Me?",,76,,2019
"Earth, Wind & Fire","Got To Get You Into My Life",,143,,
"Ella Mai","Boo'd Up",,82,,2018
"Ella Mai","Trip",Instrumental,81,Instrumental,2018
"Ella Mai ft. Nicki Minaj & Quavo","Boo'd Up",PO Clean Edit - Remix,82,PO Clean Edit - Remix,2018
"Elle Varner","Kinda Love",,96,,2019
"Elle Varner ft. A$AP Ferg","Don't Wanna Dance",Clean,86,MBK/RCA,2014
"Elliot Yamin","Movin' On",,98,,2007
"Empire Cast ft. Jussie Smollett","Good Enough", Clean Edit,68,Columbia,2015
"DJ Trauma ft. Oli","Extra Attention",PO Quick Edit,115,PO Quick Edit,2018
"Don Omar","Ciao Bella",,85,Machete/Universal,2009
"Dreezy ft. T-Pain","Close To You",Explicit,71,Interscope,2016
"dvsn","Miss Me?",PO Intro Edit,76,PO Intro Edit,2019
"Eddie Fountain","A Father's Tale",,117,FountainLegacyRecords,2017
"Ella Mai","Trip",Clean,81,Clean,2019
"Ella Mai","Trip",PO Clean Edit,81,PO Clean Edit,2018
"Ella Mai ft. Nicki Minaj & Quavo","Boo'd Up",Explicit - Remix,82,Explicit - Remix,2018
"Elle Varner ft. A$AP Ferg","Don't Wanna Dance",Instrumental,86,MBK/RCA,2014
"Elle Varner ft. A$AP Ferg","Don't Wanna Dance", Quick Edit,86,MBK/RCA,2014
"Elliot Yamin","Wait For You",,58,,2007
"Empire Cast ft. Jussie Smollett","Good Enough",,68,Columbia,2015
"Empire Cast ft. Jussie Smollett","Good Enough",,68,Columbia,2015
"Empire Cast ft. Serayah","Look But Don't Touch", Quick Edit,104,Columbia,2016
"Empire Cast ft. Serayah","Look But Don't Touch", Clean Edit - Verified Intro,104,Columbia,2016
"Eric Bellinger ft. 2 Chainz","Focused On You",,95,YFS/300,2015
"Eric Bellinger ft. Fetty Wap & 2 Chainz","Valet",Clean,94,300,2015
"Eric Bellinger ft. Fetty Wap & 2 Chainz","Valet",Instrumental,94,300,2016
"Eric Bellinger ft. Wale","G.O.A.T. 2.0",Explicit,135,Explicit,2018
"Faith Evans ft. Missy Elliott & Sharaya J","I Deserve It",Clean,91,Prolific/Primary Wave/BMG,2014
"Faith Evans ft. The Notorious B.I.G. & Jadakiss","NYC",Explicit,85,Rhino/BMG/WMG,2017
